Frequency (Hz) - Plot 0,X noise (V per root Hz) - Plot 0
10,1.75E-06
12.6,3.31E-06
15.8,3.94E-06
20,4.14E-06
25.1,4.14E-06
31.6,4.01E-06
39.8,3.69E-06
50.1,2.94E-06
63.1,1.99E-06
79.4,1.22E-06
100,7.13E-07
125.9,4.12E-07
158.5,2.71E-07
199.5,1.88E-07
251.2,1.49E-07
316.2,1.37E-07
398.1,1.21E-07
501.2,1.22E-07
631,1.15E-07
794.3,1.12E-07
1000,1.12E-07
1258.9,1.10E-07
1584.9,1.11E-07
1995.3,1.04E-07
2511.9,9.95E-08
3162.3,9.77E-08
3981.1,8.87E-08
5011.9,8.50E-08
6309.6,7.36E-08
7943.3,6.25E-08
10000,5.51E-08
12589.3,4.54E-08
15848.9,3.40E-08
19952.6,3.16E-08
25118.9,2.70E-08
31622.8,2.19E-08
39810.7,1.76E-08
50118.7,1.49E-08
63095.7,1.37E-08
79432.8,1.19E-08
100000,1.32E-08
